8:00,https://tiet.zoom.us/j/98363104480?pwd=UXp6SEkrYzUwNzV3SVBhYmlrV05LZz09,,,https://tiet.zoom.us/my/csed8,https://tiet.zoom.us/my/csed6,
8:50,,,,https://tiet.zoom.us/my/CSED18,https://tiet.zoom.us/my/CSED18,
9:40,,https://tiet.zoom.us/my/csed7,,https://tiet.zoom.us/my/CSED9,https://tiet.zoom.us/my/CSED9,
10:30,https://tiet.zoom.us/j/2929069721?_x_zm_rtaid=A9XJOMhTScaAe-sWD-CauQ.1598309420491.f94d0221a3be7cc6def5cba6edf602e1&_x_zm_rhtaid=269#success,,,exit,,https://tiet.zoom.us/my/CSED19
11:20,https://tiet.zoom.us/j/6731727045?_x_zm_rtaid=A9XJOMhTScaAe-sWD-CauQ.1598309420491.f94d0221a3be7cc6def5cba6edf602e1&_x_zm_rhtaid=269#success,,https://tiet.zoom.us/my/csed4,,,
12:10,https://tiet.zoom.us/my/csed6,,,,,https://tiet.zoom.us/j/97769726587?pwd=a2ZkQk9zTXVwUFlyK0R4SEttZ1ltZz09
13:00,https://tiet.zoom.us/j/2155942443?_x_zm_rtaid=Y9z1M5RyToSL1SFT48bhXw.1598254239072.73ca769af23559e2f92732788c7b6ea5&_x_zm_rhtaid=91#success,,https://tiet.zoom.us/j/98363104480?pwd=UXp6SEkrYzUwNzV3SVBhYmlrV05LZz09,,,exit
13:50,,,,,,
14:40,,https://tiet.zoom.us/my/csed25,,,https://tiet.zoom.us/my/csed6,
15:30,,https://tiet.zoom.us/my/csed4,,,https://tiet.zoom.us/my/csed18,
16:20,https://tiet.zoom.us/my/csed17,https://tiet.zoom.us/my/csed7,https://tiet.zoom.us/my/csed4,,exit,
17:10,exit,https://tiet.zoom.us/my/csed7,https://tiet.zoom.us/my/csed7,,,
